id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
437,10.236.212.36,1,working,working,working,NULL,ok,469ms,30-07-2019 16:53,0,30-07-2019 16:53,P1DCCP01,1907729,0,2019-06-25T20:11:47Z,,Hikvision
441,10.236.40.238,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:53,0,0000-00-00 00:00:00,P3DCJM14,,,,,Hikvision
442,10.236.40.96,1,working,working,working,NULL,error,267ms,30-07-2019 16:54,0,30-07-2019 16:54,P1DCHY92,1907729,0,,,Hikvision
446,10.236.212.238,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:54,1,0000-00-00 00:00:00,P3ECKT01,,,,,Hikvision
447,10.60.240.168,1,working,working,working,NULL,ok,504ms,30-07-2019 16:54,0,30-07-2019 16:54,MN004835,1907729,0,2019-07-08T18:56:50Z,,Hikvision
464,10.236.40.157,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:28,0,0000-00-00 00:00:00,P1DCHD15,,,,,Hikvision
476,10.60.241.235,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:28,0,0000-00-00 00:00:00,P1DCAV10,,,,,Hikvision
494,10.236.212.165,1,working,working,working,NULL,ok,677ms,30-07-2019 16:28,0,30-07-2019 16:28,P1EWGU01,1907729,1438720,2019-06-13T18:44:41Z,,Hikvision
563,10.60.240.209,0,NULL,NULL,NULL,NULL,NULL,1396ms,30-07-2019 16:29,0,0000-00-00 00:00:00,P3ENDE41,,,,,Hikvision
568,10.60.240.41,1,working,working,working,NULL,ok,336ms,30-07-2019 16:30,0,30-07-2019 16:30,MN004858,953869,0,2019-07-18T12:19:16Z,,Hikvision
579,10.236.212.83,0,NULL,NULL,NULL,NULL,NULL,1353ms,30-07-2019 16:30,0,0000-00-00 00:00:00,P3ENND17,,,,,Hikvision
586,10.185.180.11,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:31,0,0000-00-00 00:00:00,P3DCJM17,,,,,Hikvision
589,10.60.240.201,0,NULL,NULL,NULL,NULL,NULL,1111ms,30-07-2019 16:05,0,0000-00-00 00:00:00,P3ENDE38,,,,,Hikvision
596,10.236.212.115,1,working,working,working,NULL,ok,872ms,30-07-2019 16:06,0,30-07-2019 16:06,P3ENDE37,1907729,1649664,2019-07-12T14:57:52Z,,Hikvision
603,10.60.240.88,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:06,0,0000-00-00 00:00:00,P4ENGZ01,,,,,Hikvision
604,10.236.212.146,1,working,working,working,NULL,ok,507ms,30-07-2019 16:07,0,30-07-2019 16:07,P3ENCO13,1907729,0,,,Hikvision
606,10.60.241.147,1,working,working,working,NULL,ok,526ms,30-07-2019 16:07,0,30-07-2019 16:07,P1EWBA32,1907729,0,,,Hikvision
611,10.60.240.63,1,working,working,working,NULL,ok,942ms,30-07-2019 16:07,0,30-07-2019 16:07,P3ENOD05,1907729,0,2019-06-08T04:17:15Z,,Hikvision
616,10.185.180.31,1,working,working,working,NULL,ok,103ms,30-07-2019 16:08,0,30-07-2019 16:08,P1DCMZ01,1907729,1748992,2019-07-25T20:48:21Z,,Hikvision
618,10.236.40.235,1,working,working,working,NULL,smartFailed,298ms,30-07-2019 16:09,0,30-07-2019 16:09,P1DCAM17,1907729,0,2019-06-20T20:09:33Z,,Hikvision
620,10.185.180.67,1,working,working,not working,NULL,ok,442ms,30-07-2019 16:09,0,30-07-2019 16:09,P1DCGY04,1907729,0,2019-05-23T13:46:23Z,,Hikvision
623,10.236.40.233,1,working,working,working,NULL,ok,572ms,30-07-2019 16:10,0,30-07-2019 16:10,P3ENPL01,1907729,0,2019-05-24T17:36:01Z,,Hikvision
628,10.185.181.208,1,working,working,working,NULL,ok,554ms,30-07-2019 16:10,0,30-07-2019 16:10,P3ENTR11,1907729,0,2019-06-10T15:28:07Z,,Hikvision
